day_number,hour_number,avg_speed
18,0,54.03034657460542
18,1,56.178715153483346
18,2,43.68901062011719
18,3,42.150901024421444
18,4,48.447886000897086
18,5,46.29030577781556
18,6,48.481300703488
18,7,48.41942962670572
18,8,47.59388583001827
18,9,47.91780324415735
18,10,47.22660587683716
18,11,46.605409153218396
18,12,47.93744088996222
18,13,48.29156248725071
18,14,47.92099495397514
18,15,47.50459309350237
18,16,46.72807301734826
18,17,46.64624273255357
18,18,49.6799124149054
18,19,48.11926335900328
18,20,49.82367750853476
18,21,48.49524887745892
18,22,48.200675592829356
18,23,50.20797112577374
19,0,58.472064396735796
19,1,57.49624580134526
19,2,0
19,3,39.98999834060669
19,4,0
19,5,0
19,6,44.14970021503431
19,7,46.70975868607492
19,8,48.25948223284485
19,9,47.46952567879998
19,10,47.27021726261685
19,11,49.3450240331184
19,12,46.43734929803721
19,13,48.52679456894617
19,14,46.71295924928411
19,15,47.035876862793366
19,16,46.51838627817176
19,17,46.45800897295065
19,18,47.77845178305387
19,19,47.1913562358981
19,20,46.316776766666614
19,21,48.924911027839656
19,22,46.75591964954254
19,23,49.06860463913789
20,0,53.74584875978941
20,1,50.52427350009529
20,2,0
20,3,48.848879829492404
20,4,46.811451000715444
20,5,50.643151321709645
20,6,50.22798462485014
20,7,46.5905417091042
20,8,47.663703695776235
20,9,46.55588242181947
20,10,48.14364801196862
20,11,46.75581208974227
20,12,48.3153001590555
20,13,48.3409870415414
20,14,47.80307847010672
20,15,47.13653643452568
20,16,48.37407606551856
20,17,48.10565658954241
20,18,48.002002445374096
20,19,48.54600582684815
20,20,48.773781658466255
20,21,49.871377895029674
20,22,49.568371938165434
20,23,50.749208636562194
21,0,58.7316456344906
21,1,50.32249415171831
21,2,0
21,3,51.582370047298895
21,4,46.617899345758744
21,5,45.886733157073714
21,6,46.34471853222474
21,7,48.05503657293303
21,8,47.22592018590519
21,9,47.712643846026744
21,10,49.75856709804487
21,11,48.4435792856488
21,12,47.40323122803736
21,13,47.14987073655613
21,14,46.45858225624455
21,15,46.825261699130344
21,16,47.3050787638467
21,17,46.76080910934082
21,18,47.36845731914261
21,19,48.030922508721154
21,20,48.197879533005825
21,21,48.71512144728521
21,22,49.035402597928325
21,23,49.41041050928912
22,0,60.664743296936926
22,1,51.772505321359596
22,2,73.74000549316406
22,3,48.23535294894724
22,4,47.647558895078554
22,5,47.031326926899645
22,6,46.494437959467476
22,7,47.248010575574824
22,8,47.90041412954822
22,9,50.935070295276724
22,10,48.11325892025371
22,11,48.0452974037704
22,12,47.3048100437171
22,13,47.8780717285584
22,14,47.6957060775406
22,15,50.26143704170196
22,16,50.12928635256267
22,17,48.16271735989699
22,18,48.51246044949318
22,19,49.034179394604784
22,20,47.86585331041024
22,21,48.384064174759985
22,22,45.54687879121627
22,23,51.27301282562706
23,0,53.286208978505954
23,1,53.69122062583363
23,2,0
23,3,46.93285524478115
23,4,46.75589512490709
23,5,45.89721803482624
23,6,46.25017694195441
23,7,46.7698868242171
23,8,48.8566260481446
23,9,49.2173169714421
23,10,47.25540447780203
23,11,49.10605225996366
23,12,51.17574288462896
23,13,49.20615770055632
23,14,50.049147322823465
23,15,47.225032304295475
23,16,47.28281543642766
23,17,46.73869221023271
23,18,47.16999998713157
23,19,47.78005281234469
23,20,48.55423447558574
23,21,48.156372290722764
23,22,46.914396945634124
23,23,49.60506975410446
